1. Rogue One: A Star Wars Story (2016),PG-13 | 133 min | Action- Adventure- Sci-Fi, 7.8,Votes: 469663 | Gross: 532.18M
2. Finding Dory (2016),PG | 97 min | Animation- Adventure- Comedy, 7.3,Votes: 210134 | Gross: 486.30M
3. Captain America: Civil War (2016),PG-13 | 147 min | Action- Adventure- Sci-Fi, 7.8,Votes: 560642 | Gross: 408.08M
4. The Secret Life of Pets (2016),PG | 87 min | Animation- Adventure- Comedy, 6.5,Votes: 158794 | Gross: 368.38M
5. The Jungle Book (2016),PG | 106 min | Adventure- Drama- Family, 7.4,Votes: 238639 | Gross: 364.00M
6. Deadpool (2016),R | 108 min | Action- Adventure- Comedy, 8.0,Votes: 806662 | Gross: 363.07M
7. Zootopia (2016),PG | 108 min | Animation- Adventure- Comedy, 8.0,Votes: 376628 | Gross: 341.27M
8. Batman v Superman: Dawn of Justice (2016),PG-13 | 151 min | Action- Adventure- Fantasy, 6.5,Votes: 569094 | Gross: 330.36M
9. Suicide Squad (2016),PG-13 | 123 min | Action- Adventure- Fantasy, 6.1,Votes: 523101 | Gross: 325.10M
10. Sing (2016),PG | 108 min | Animation- Comedy- Family, 7.1,Votes: 113497 | Gross: 270.40M
11. Moana (I) (2016),PG | 107 min | Animation- Adventure- Comedy, 7.6,Votes: 219538 | Gross: 248.76M
12. Fantastic Beasts and Where to Find Them (2016),PG-13 | 133 min | Adventure- Family- Fantasy, 7.3,Votes: 358589 | Gross: 234.04M
13. Doctor Strange (2016),PG-13 | 115 min | Action- Adventure- Fantasy, 7.5,Votes: 492883 | Gross: 232.64M
14. Hidden Figures (2016),PG | 127 min | Biography- Drama- History, 7.8,Votes: 168035 | Gross: 169.61M
15. Jason Bourne (2016),PG-13 | 123 min | Action- Thriller, 6.6,Votes: 188457 | Gross: 162.43M
16. Star Trek Beyond (2016),PG-13 | 122 min | Action- Adventure- Sci-Fi, 7.1,Votes: 207528 | Gross: 158.85M
17. X-Men: Apocalypse (2016),PG-13 | 144 min | Action- Adventure- Sci-Fi, 7.0,Votes: 347551 | Gross: 155.44M
18. Trolls (2016),PG | 92 min | Animation- Adventure- Comedy, 6.5,Votes: 62434 | Gross: 153.71M
19. La La Land (I) (2016),PG-13 | 128 min | Comedy- Drama- Music, 8.0,Votes: 427133 | Gross: 151.10M
20. Kung Fu Panda 3 (2016),PG | 95 min | Animation- Action- Adventure, 7.1,Votes: 113772 | Gross: 143.53M
21. Split (IX) (2016),PG-13 | 117 min | Horror- Thriller, 7.3,Votes: 342849 | Gross: 138.29M
22. Ghostbusters (2016),PG-13 | 116 min | Action- Comedy- Fantasy, 5.2,Votes: 184804 | Gross: 128.34M
23. Central Intelligence (2016),PG-13 | 107 min | Action- Comedy- Crime, 6.3,Votes: 135816 | Gross: 127.44M
24. The Legend of Tarzan (2016),PG-13 | 110 min | Action- Adventure- Drama, 6.3,Votes: 148333 | Gross: 126.64M
25. Sully (2016),PG-13 | 96 min | Biography- Drama, 7.5,Votes: 199086 | Gross: 125.07M
26. Bad Moms (2016),R | 100 min | Comedy, 6.2,Votes: 99514 | Gross: 113.26M
27. The Angry Birds Movie (2016),PG | 97 min | Animation- Action- Adventure, 6.3,Votes: 68734 | Gross: 107.51M
28. Independence Day: Resurgence (2016),PG-13 | 120 min | Action- Adventure- Sci-Fi, 5.2,Votes: 153662 | Gross: 103.14M
29. The Conjuring 2 (2016),R | 134 min | Drama- Horror- Mystery, 7.4,Votes: 190190 | Gross: 102.47M
30. Arrival (II) (2016),PG-13 | 116 min | Drama- Mystery- Sci-Fi, 7.9,Votes: 504693 | Gross: 100.55M
31. Passengers (I) (2016),PG-13 | 116 min | Drama- Romance- Sci-Fi, 7.0,Votes: 305228 | Gross: 100.01M
32. Sausage Party (2016),R | 89 min | Animation- Adventure- Comedy, 6.2,Votes: 157051 | Gross: 97.66M
33. The Magnificent Seven (2016),PG-13 | 132 min | Action- Adventure- Western, 6.9,Votes: 166489 | Gross: 93.43M
34. Ride Along 2 (2016),PG-13 | 102 min | Action- Comedy, 5.9,Votes: 47961 | Gross: 90.84M
35. Dont Breathe (2016),R | 88 min | Crime- Horror- Thriller, 7.1,Votes: 183214 | Gross: 89.22M
36. Miss Peregrines Home for Peculiar Children (2016),PG-13 | 127 min | Adventure- Drama- Fantasy, 6.7,Votes: 138823 | Gross: 87.24M
37. The Accountant (2016),R | 128 min | Action- Crime- Drama, 7.3,Votes: 230227 | Gross: 86.26M
38. Teenage Mutant Ninja Turtles: Out of the Shadows(2016),PG-13 | 112 min | Action- Adventure- Comedy, 6.0,Votes: 76348 | Gross: 82.05M
39. The Purge: Election Year (2016),R | 108 min | Action- Horror- Sci-Fi, 6.0,Votes: 79040 | Gross: 79.00M
40. Alice Through the Looking Glass (2016),PG | 113 min | Adventure- Family- Fantasy, 6.2,Votes: 78284 | Gross: 77.04M
41. Petes Dragon (2016),PG | 102 min | Action- Adventure- Comedy, 6.7,Votes: 48774 | Gross: 76.23M
42. The Girl on the Train (2016),R | 112 min | Crime- Drama- Mystery, 6.5,Votes: 148531 | Gross: 75.40M
43. Boo! A Madea Halloween (2016),PG-13 | 103 min | Comedy- Drama- Horror, 4.6,Votes: 6763 | Gross: 73.16M
44. Storks (2016),PG | 87 min | Animation- Adventure- Comedy, 6.8,Votes: 49745 | Gross: 72.68M
45. 10 Cloverfield Lane (2016),PG-13 | 103 min | Drama- Horror- Mystery, 7.2,Votes: 257196 | Gross: 71.90M
46. Lights Out (II) (2016),PG-13 | 81 min | Drama- Horror- Mystery, 6.3,Votes: 98704 | Gross: 67.27M
47. Hacksaw Ridge (2016),R | 139 min | Biography- Drama- History, 8.1,Votes: 359204 | Gross: 67.21M
48. Allegiant (2016),PG-13 | 120 min | Action- Adventure- Mystery, 5.7,Votes: 93431 | Gross: 66.18M
49. Now You See Me 2 (2016),PG-13 | 129 min | Action- Adventure- Comedy, 6.5,Votes: 211688 | Gross: 65.08M
50. Ice Age: Collision Course (2016),PG | 94 min | Animation- Adventure- Comedy, 5.7,Votes: 47741 | Gross: 64.06M
